Name,Team,Age,Height,Weight,dexterity,player_id
Patrick Mahomes,KC,28,6'2,225,R,3139477
Lamar Jackson,BAL,27,6'2,215,R,3916387
Josh Allen,BUF,28,6'5,237,R,3918298
Justin Herbert,LAC,26,6'6,236,R,4038941
Matthew Stafford,LAR,36,6'3,220,R,12483
Dak Prescott,DAL,31,6'2,238,R,2577417
Joe Burrow,CIN,27,6'4,215,R,3915511
Trevor Lawrence,JAX,24,6'6,220,R,4360310
Aaron Rodgers,NYJ,40,6'2,223,R,8439
Geno Smith,SEA,33,6'3,221,R,15864
CJ Stroud,HOU,22,6'3,218,R,4432577
Jordan Love,GB,25,6'4,219,R,4036378
Kyler Murray,ARI,27,5'10,207,R,3917315
Jared Goff,DET,29,6'4,217,R,3046779
Kirk Cousins,ATL,36,6'3,205,R,14880
Brock Purdy,SF,24,6'1,220,R,4361741
Jalen Hurts,PHI,26,6'1,223,R,4040715
Tua Tagovailoa,MIA,26,6'1,225,L,4241479
Derek Carr,NO,33,6'3,215,R,16757
Caleb Williams,CHI,22,6'1,215,R,4431611
Anthony Richardson,IND,22,6'4,244,R,4429084
Baker Mayfield,TB,29,6'1,215,R,3052587
Daniel Jones,NYG,27,6'5,230,R,3917792
Deshaun Watson,CLE,28,6'3,223,R,3122840
Jacoby Brissett,NE,31,6'4,235,R,2578570
Will Levis,TEN,25,6'4,225,R,4361418
Russell Wilson,PIT,35,5'11,215,R,14881
Jayden Daniels,WAS,23,6'4,210,R,4426348
Sam Darnold,MIN,27,6'3,225,R,3912547
Bryce Young,CAR,23,5'10,204,R,4685720
Gardner Minshew,LV,28,6'1,225,R,4038524
Bo Nix,DEN,24,6'2,217,R,4426338
Justin Fields,PIT,25,6'3,227,R,4362887
Skylar Thompson,MIA,27,6'2,219,R,4036419
Malik Willis,GB,25,6'1,225,R,4242512